open,high,low,close,volume,20_day_SMA,200_day_SMA,consecutive_up,consecutive_down,price_change
0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0
247.99001,251.38,247.64999,251.03999,51694800,241.232,210.33015,0,0,0.0
247.99001,251.37891,247.75,251.03999,46018060,240.094,209.92055,3,0,2.90999
247.82001,249.28999,246.24001,248.13,33155300,238.943,209.51595,2,0,0.16999
246.89,248.74001,245.67999,247.96001,32777500,237.7865,209.1508,1,0,1.47
247.96001,250.8,246.25999,246.49001,45205800,236.7995,208.8093,0,1,-1.27999
246.89,248.21001,245.34,247.77,36914800,235.731,208.4806,1,0,1.02
241.83,247.24001,241.75,246.75,44649200,234.554,208.14885,0,0,0.0
241.83,247.24001,241.75,246.75,44649232,233.428,207.82825,1,0,3.91
242.91,244.63,242.08,242.84,36870600,232.4385,207.5003,0,1,-0.19999
243.99001,244.53999,242.13,243.03999,40033900,231.6705,207.1987,5,0,0.03
242.87,244.11,241.25,243.00999,44383900,230.6545,206.90535,4,0,0.36
239.81,242.75999,238.89999,242.64999,38861000,229.6765,206.6019,3,0,3.05999
237.27,240.78999,237.16,239.59,48137100,228.6445,206.29645,2,0,2.26
234.81,237.81,233.97,237.33,28481400,227.8105,206.01005,1,0,2.40001
234.47,235.69,233.81,234.92999,33498400,227.2395,205.7427,0,1,-0.13001
233.33,235.57001,233.33,235.06,45986200,226.998,205.4888,3,0,2.19
231.46001,233.25,229.74001,232.87,90152800,226.9285,205.2387,2,0,3.0
228.06,230.72,228.06,229.87,38168300,226.955,205.0101,1,0,1.35
228.88,230.16,225.71001,228.52,42108300,227.032,204.805,0,1,-0.48
228.06,229.92999,225.89,229.0,35169600,227.1345,204.604,3,0,0.72
226.98,230.16,226.66,228.28,36211800,227.2225,204.40605,2,0,0.26
225.25,229.74001,225.17,228.02,44686000,227.6015,204.21115,1,0,3.02
226.39999,226.92,224.27,225.0,47923700,228.0245,204.00945,0,1,-3.22
225.02,228.87,225.0,228.22,44923900,228.5245,203.8137,2,0,3.1
224.00999,226.64999,222.75999,225.12,48566200,228.721,203.6069,1,0,0.89
224.55,225.59,223.36,224.23,40398300,229.054,203.4033,0,0,0.0
225.0,225.7,221.5,224.23,42005600,229.535,203.22235,0,2,-2.73001
227.17,228.66,226.41,226.96001,38328800,229.8885,203.05985,0,1,-0.51999
224.63,227.88,224.57001,227.48,42137700,229.918,202.88715,1,0,4.76
222.61,226.07001,221.19,222.72,54561100,229.996,202.7206,0,1,-0.73
221.8,223.95,221.14,223.45,28111300,230.337,202.5795,1,0,1.44001
220.99001,222.78999,219.71001,222.00999,44944500,230.453,202.43815,0,4,-0.90001
220.97,225.35001,220.27,222.91,65276700,230.437,202.29755,0,3,-3.0
229.34,229.83,225.37,225.91,64370100,230.376,202.1408,0,2,-4.19001
232.61,233.47,229.55,230.10001,47070900,230.4205,201.9544,0,1,-3.56999
233.10001,234.33,232.32001,233.67,35417200,230.199,201.7173,3,0,0.27001
233.32001,234.73,232.55,233.39999,36087100,229.799,201.4671,2,0,1.98999
229.74001,233.22,229.57001,231.41,38802300,229.4395,201.2297,1,0,0.83999
229.98,230.82001,228.41,230.57001,31109500,229.519,201.0006,0,3,-0.18998
234.08,235.14,227.75999,230.75999,52287000,229.38,200.7787,0,2,-5.10001
233.89,236.22,232.60001,235.86,38846600,229.218,200.5506,0,1,-0.62
234.45,236.85001,234.45,236.48,36254500,228.7435,200.2991,3,0,1.48
236.17999,236.17999,234.00999,235.0,46431500,228.288,200.0226,2,0,2.85001
233.42999,233.85001,230.52,232.14999,32993800,227.8615,199.75715,1,0,0.36999
231.60001,232.12,229.84,231.78,34082200,227.664,199.51765,0,1,-2.07001
233.61,237.49001,232.37,233.85001,64751400,227.5185,199.28695,2,0,2.55001
228.7,231.73,228.60001,231.3,39882100,226.8605,199.08035,1,0,3.75
229.3,229.41,227.34,227.55,31759200,226.135,198.89175,0,2,-1.48999
227.78,229.5,227.17,229.03999,28183500,225.5735,198.71975,0,1,-0.5
225.23,229.75,224.83,229.53999,33591100,225.2465,198.5398,2,0,3.76999
224.3,225.98,223.25,225.77,31855700,224.908,198.3601,1,0,4.08
224.5,225.69,221.33,221.69,39505400,224.7525,198.20465,0,0,0.0
224.5,225.69,221.33,221.69,39505352,224.6735,198.07035,0,1,-5.11
227.89999,228.0,224.13,226.8,37245100,224.6345,197.9466,1,0,1.13
225.14,226.81,223.32001,225.67,34044200,224.3355,197.79205,0,0,0.0
225.14,226.80499,223.32001,225.67,34044160,224.171,197.65155,0,2,-0.54001
229.52,229.64999,223.74001,226.21001,63285000,223.93,197.51375,0,1,-6.78999
230.03999,233.0,229.64999,233.0,54541900,223.758,197.3725,3,0,5.21001
228.46001,229.52,227.3,227.78999,34026000,223.558,197.18105,2,0,0.26999
227.3,228.5,225.41,227.52,36636700,223.658,197.008,1,0,1.15
224.92999,227.28999,224.02,226.37,42308700,223.6065,196.84895,0,1,-1.0
228.64999,229.35001,225.73,227.37,43556100,223.6895,196.68845,1,0,0.9
227.34,229.45,225.81,226.47,54146000,223.68,196.5132,0,2,-1.73
229.97,233.09,227.62,228.2,318679900,223.6985,196.34795,0,1,-0.67
224.99001,229.82001,224.63,228.87,66781300,223.515,196.1541,3,0,8.18
217.55,222.71001,217.53999,220.69,59894900,223.3915,195.96595,2,0,3.90001
215.75,216.89999,214.5,216.78999,45519300,223.6825,195.81225,1,0,0.46998
216.53999,217.22,213.92,216.32001,59357400,224.1375,195.67515,0,2,-6.17999
223.58,224.03999,221.91,222.5,36766600,224.624,195.54555,0,1,-0.27
222.5,223.55,219.82001,222.77,37498200,224.735,195.382,2,0,0.11
221.46001,223.09,217.89,222.66,44587100,224.6825,195.218,1,0,2.55
218.92,221.48,216.73,220.11,51591000,224.613,195.06125,0,1,-0.8
220.82001,221.27,216.71001,220.91,67180000,224.484,194.9139,1,0,0.08999
223.95,225.24001,219.77,220.82001,48423000,224.2505,194.7666,0,1,-1.55999
221.63,225.48,221.52,222.38,36615400,223.875,194.61095,1,0,1.52999
221.66,221.78,217.48,220.85001,43840200,223.247,194.4476,0,3,-1.91999
228.55,229.0,221.17,222.77,50190600,222.566,194.2834,0,2,-6.23
230.19,230.39999,227.48,229.0,52990800,221.891,194.10675,0,1,-0.78999
230.10001,232.92,228.88,229.78999,51906300,221.434,193.88575,1,0,3.29998
227.92,229.86,225.67999,226.49001,38052200,220.8625,193.6688,0,1,-1.53999
226.0,228.85001,224.89,228.03,35934600,220.642,193.4484,3,0,0.85001
226.75999,227.28,223.89,227.17999,30602200,220.1805,193.2227,2,0,0.33999
225.66,228.22,224.33,226.84,38677300,219.7335,192.9959,1,0,2.31
227.78999,228.34,223.89999,224.53,43695300,219.2895,192.75785,0,2,-1.86999
226.52,227.98,225.05,226.39999,34765500,218.9375,192.51845,0,1,-0.11
225.77,227.17,225.45,226.50999,30299000,218.5445,192.2743,1,0,0.61999
225.72,225.99001,223.03999,225.89,40687800,218.4695,192.0116,0,1,-0.16
223.92,226.83,223.64999,226.05,44340200,218.373,191.736,8,0,1.33
224.60001,225.35001,222.75999,224.72,46414000,218.286,191.4572,7,0,3.0
220.57001,223.03,219.7,221.72,41960600,218.259,191.1747,6,0,0.45
219.00999,221.89,219.00999,221.27,44155300,218.617,190.90055,5,0,3.74
216.07001,219.50999,215.60001,217.53,38028100,219.2945,190.6497,4,0,1.28999
212.10001,216.78,211.97,216.24001,42201600,220.138,190.42925,3,0,2.93001
213.11,214.2,208.83,213.31,47161100,220.853,190.21305,2,0,3.48999
206.89999,213.64,206.39,209.82001,63516400,221.566,190.0109,1,0,2.59001
205.3,209.99001,201.07001,207.23,69660500,222.724,189.8391,0,2,-2.04
199.09,213.5,196.0,209.27,119548600,223.7965,189.68215,0,1,-10.59
219.14999,225.60001,217.71001,219.86,105568600,224.724,189.52155,1,0,1.5
224.37,224.48,217.02,218.36,62501000,225.048,189.31585,0,1,-3.72
221.44,223.82001,220.63,222.08,50036300,225.2075,189.1183,4,0,3.28
219.19,220.33,216.12,218.8,41643800,225.117,188.91145,3,0,0.55999
216.96001,219.3,215.75,218.24001,36311800,225.0145,188.71645,2,0,0.28
218.7,219.49001,216.00999,217.96001,41601300,224.6335,188.5172,1,0,0.47
218.92999,220.85001,214.62,217.49001,51391200,224.4405,188.32235,0,2,-1.04998
224.0,224.8,217.13,218.53999,61777600,224.2285,188.12235,0,1,-6.47
224.37,226.94,222.67999,225.00999,39960300,223.755,187.9042,1,0,1.04998
227.00999,227.78,223.09,223.96001,48201800,222.9115,187.64745,0,1,-0.34999
224.82001,226.8,223.28,224.31,49151500,222.088,187.38965,1,0,0.13001
230.28,230.44,222.27,224.17999,66034600,221.3565,187.13685,0,2,-4.70001
229.45,231.46001,226.64,228.88,57345900,220.862,186.872,0,1,-5.94001
235.0,236.27,232.33,234.82001,43234300,220.2515,186.58105,3,0,0.42002
236.48,237.23,233.09,234.39999,62631300,219.135,186.2591,2,0,3.86
228.92,232.64,228.67999,230.53999,53046500,218.127,185.9469,1,0,2.96998
231.39,232.39,225.77,227.57001,64710600,217.2535,185.6746,0,1,-5.40999
229.3,233.08,229.25,232.98,62627700,216.2325,185.4107,7,0,4.30001
227.92999,229.39999,226.37,228.67999,48076100,214.2395,185.11545,6,0,0.85998
227.09,227.85001,223.25,227.82001,59085900,212.65,184.8495,5,0,1.48001
221.64999,226.45,221.64999,226.34,60412400,210.983,184.60575,4,0,4.79
220.0,221.55,219.03,221.55,37369800,209.4595,184.3639,3,0,1.28
216.14999,220.38,215.10001,220.27,58046200,208.0995,184.1312,2,0,3.52
212.09,217.50999,211.92,216.75,60402900,206.7875,183.90855,1,0,6.13
215.77,216.07001,210.3,210.62,82542700,205.5625,183.69585,0,1,-3.48001
214.69,215.74001,212.35001,214.10001,49772700,204.596,183.52425,4,0,0.85001
211.5,214.86,210.64,213.25,66213200,203.4055,183.35055,3,0,4.17999
209.14999,211.38,208.61,209.07001,56713900,202.2425,183.1752,2,0,0.93001
207.72,212.7,206.59,208.14,80727000,201.288,183.01765,1,0,0.64999
210.39,211.89,207.11,207.49001,246421400,200.225,182.8915,0,3,-2.18998
213.92999,214.24001,208.85001,209.67999,86172500,199.3955,182.80255,0,2,-4.61
217.59,218.63,213.0,214.28999,79943300,198.529,182.70145,0,1,-2.38001
213.37,218.95,212.72,216.67,93728300,197.3665,182.56935,1,0,4.17999
213.85001,215.17,211.3,212.49001,70122700,196.0265,182.42425,0,1,-1.75
214.74001,216.75,211.60001,214.24001,97862700,194.894,182.2824,3,0,1.17
207.37,220.2,206.89999,213.07001,198134300,193.668,182.11215,2,0,5.92002
193.64999,207.16,193.63,207.14999,172373300,192.386,181.93985,1,0,14.02999
196.89999,197.3,192.14999,193.12,97262100,191.3425,181.786,0,1,-3.77
194.64999,196.94,194.14,196.89,53103900,190.839,181.726,1,0,2.41
195.69,196.5,194.17,194.48,41181800,190.223,181.6277,0,1,-1.39
195.39999,196.89999,194.87,195.87,54156800,189.636,181.5345,8,0,1.51999
194.64,195.32001,193.03,194.35001,47471400,188.9625,181.4276,7,0,0.32001
192.89999,194.99001,192.52,194.03,50080500,188.3305,181.32585,6,0,1.78
191.44,192.57001,189.91,192.25,75158300,187.798,181.23855,5,0,0.96001
190.75999,192.17999,190.63,191.28999,49947900,186.837,181.16455,4,0,1.0
189.61,192.25,189.50999,190.28999,53068000,185.7375,181.1054,3,0,0.29998
191.50999,193.0,189.10001,189.99001,52280100,184.7395,181.0429,2,0,0.01001
188.82001,190.58,188.03999,189.98,36294600,183.915,180.9828,1,0,3.1
190.98,191.0,186.63,186.88,51005900,182.881,180.92385,0,2,-4.01999
192.27,192.82001,190.27,190.89999,34648500,182.0315,180.88845,0,1,-1.45002
191.09,192.73,190.92,192.35001,42309400,180.9375,180.8282,7,0,1.31002
189.33,191.92,189.00999,191.03999,44361300,179.665,180.7764,6,0,1.16999
189.50999,190.81,189.17999,189.87,41282900,178.405,180.77705,5,0,0.03
190.47,191.10001,189.66,189.84,52845200,177.1615,180.7906,4,0,0.12
187.91,190.64999,187.37,189.72,70400000,176.0215,180.81945,3,0,2.29001
187.50999,188.3,186.28999,187.42999,52393600,174.9355,180.8531,2,0,1.14999
185.44,187.10001,184.62,186.28,72044800,174.033,180.8951,1,0,3.23
184.89999,185.09,182.13,183.05,50759500,173.3535,180.9298,0,1,-1.52001
182.56,184.66,182.11,184.57001,48983000,173.0285,180.98705,3,0,1.83
182.85001,183.07001,181.45,182.74001,45057100,172.552,181.0323,2,0,0.34002
183.45,184.89999,181.32001,182.39999,77305800,171.804,181.08235,1,0,0.68998
182.35001,184.2,180.42,181.71001,78569700,171.1675,181.13005,0,1,-1.66999
186.64999,187.0,182.66,183.38,163224100,170.5045,181.18715,2,0,10.35
172.50999,173.42,170.89,173.03,94214900,169.8145,181.24575,1,0,3.73
169.58,172.71001,169.11,169.3,50383100,169.604,181.34925,0,2,-1.03
173.33,174.99001,170.0,170.33,65934800,169.6215,181.4727,0,1,-3.17
173.37,176.03,173.10001,173.5,68169400,169.547,181.5745,1,0,4.2
169.88,171.34,169.17999,169.3,44838400,169.3735,181.6597,0,1,-0.59
169.53,170.61,168.14999,169.89,50558300,169.4825,181.76205,4,0,0.87
166.53999,169.3,166.21001,169.02,48251800,169.6535,181.853,3,0,2.12001
165.35001,167.05,164.92,166.89999,49537800,169.688,181.95095,2,0,1.05999
165.52,167.25999,164.77,165.84,48116400,169.8855,182.06985,1,0,0.84
166.21001,166.39999,164.08,165.0,67772100,170.2075,182.1997,0,5,-2.03999
168.03,168.64,166.55,167.03999,43122900,170.526,182.33135,0,4,-0.96001
169.61,170.64999,168.0,168.0,50901200,171.1075,182.45845,0,3,-1.38
171.75,173.75999,168.27,169.38,73711200,171.5115,182.5883,0,2,-3.31
175.36,176.63,172.5,172.69,73531800,171.7285,182.68935,0,1,-3.86
174.25999,178.36,174.21001,176.55,101593300,171.725,182.77215,2,0,1.51001
168.34,175.46001,168.16,175.03999,91070300,171.5475,182.8297,1,0,7.25999
168.8,169.09,167.11,167.78,49709300,171.352,182.88085,0,1,-1.89
168.7,170.08,168.35001,169.67,42451200,171.6245,182.97535,1,0,1.22
169.03,169.2,168.24001,168.45,37425500,171.7785,183.062,0,1,-1.13
169.59,170.39,168.95,169.58,42055200,171.8925,183.13955,1,0,0.75999
170.28999,171.92,168.82001,168.82001,53704400,171.8635,183.2167,0,1,-0.82998
168.78999,170.67999,168.58,169.64999,47691700,171.8785,183.2972,1,0,0.80999
169.08,169.34,168.23,168.84,49329500,171.902,183.379,0,3,-1.19
171.19,171.25,169.48,170.03,46240500,172.215,183.45455,0,2,-1.45
171.75,172.23,170.50999,171.48,65672700,172.6965,183.52095,0,1,-1.83
170.41,173.60001,170.11,173.31,60273300,173.16,183.5825,1,0,3.59999
170.0,171.42,169.58,169.71001,57388400,173.5655,183.62075,0,2,-1.14
170.57001,171.94,169.45,170.85001,54288300,174.2115,183.67505,0,1,-1.42999
171.75999,173.05,170.06,172.28,71106600,174.727,183.7099,1,0,0.91
177.05,177.49001,170.84,171.37,106181300,175.239,183.74455,0,1,-7.3
175.72,178.67,175.09,178.67,53423100,175.889,183.7856,3,0,2.59
174.34,176.61,173.03,176.08,55215200,176.0715,183.797,2,0,2.36
175.57001,177.71001,173.52,173.72,75604200,176.3455,183.81705,1,0,1.1
171.17,172.62,170.28999,172.62,121664700,176.775,183.8347,0,1,-0.38
172.91,174.31,172.05,173.0,72913500,177.337,183.8581,1,0,1.87
172.77,173.19,170.75999,171.13,52488700,177.8945,183.87025,0,1,-2.1
173.14999,174.03,171.00999,173.23,59825400,178.59,183.87955,3,0,0.48
172.94,174.38,172.05,172.75,60139500,179.286,183.8726,2,0,2.02
169.0,173.7,168.94,170.73,76114600,180.091,183.86665,1,0,1.73
169.14999,170.73,168.49001,169.0,71765100,180.9705,183.884,0,7,-0.12
171.06,171.24001,168.67999,169.12,68587700,181.991,183.9148,0,6,-1.0
170.75999,172.03999,169.62,170.12,95132400,183.0,183.94445,0,5,-4.98001
176.14999,176.89999,173.78999,175.10001,81510100,183.878,183.9573,0,4,-4.55999
179.55,180.53,177.38,179.66,73488000,184.4155,183.94215,0,3,-1.09
181.27,182.57001,179.53,180.75,136682600,184.7755,183.9042,0,2,-0.67
182.50999,183.12,180.13,181.42,48953900,184.958,183.8633,0,1,-1.21
181.10001,183.92,179.56,182.63,54318900,185.289,183.82495,1,0,1.47
182.24001,182.75999,180.64999,181.16,40867400,185.744,183.7796,0,2,-1.36
185.00999,185.03999,182.23,182.52,45119700,186.307,183.73265,0,1,-1.85
183.48,184.96001,182.46001,184.37,52292200,186.8895,183.68755,2,0,2.04999
181.94,182.89,180.66,182.32001,41529700,187.396,183.63355,1,0,0.76001
181.78999,182.42999,180.0,181.56,53665600,188.039,183.5509,0,6,-0.75
183.42,184.85001,181.67,182.31,49701400,188.6555,183.48035,0,5,-1.55
183.55,184.49001,181.35001,183.86,65434500,189.118,183.4115,0,4,-0.28999
185.32001,185.53,182.44,184.14999,54630500,189.3565,183.34015,0,3,-0.89
185.77,186.21001,183.50999,185.03999,56529500,189.283,183.2678,0,2,-2.11
188.42,188.67,186.78999,187.14999,41781900,189.2125,183.18465,0,1,-1.70002
188.64999,189.99001,188.0,188.85001,45155200,189.151,183.0677,1,0,0.53
189.39,189.53999,187.35001,188.32001,40962000,188.988,182.9423,0,1,-1.08999
190.64,191.05,188.61,189.41,53439000,188.8815,182.82735,3,0,0.11
186.86,189.31,186.77,189.3,43490800,188.668,182.7054,2,0,1.62001
188.14999,189.25,185.84,187.67999,69668800,188.481,182.59215,1,0,1.82998
179.86,187.33,179.25,185.85001,102518000,188.156,182.4919,0,1,-1.00999
183.99001,186.95,183.82001,186.86,64885400,187.959,182.395,1,0,2.46001
187.03999,187.10001,184.35001,184.39999,55467800,187.8285,182.28685,0,6,-3.64
190.94,191.8,187.47,188.03999,55859400,187.8905,182.1909,0,5,-3.69001
192.00999,192.2,189.58,191.73,47145600,188.115,182.0785,0,4,-0.69
194.27,194.75999,191.94,192.42,44594000,188.2075,181.92035,0,3,-1.75
195.22,196.27,193.11,194.17,54822100,188.244,181.76225,0,2,-0.33
195.42,196.38,194.34,194.5,53631300,188.188,181.60155,0,1,-0.67999
195.02,195.75,193.83,195.17999,42355600,188.143,181.45235,4,0,1.28999
192.3,195.33,192.25999,193.89,60133900,188.118,181.29525,3,0,2.33
189.33,191.95,188.82001,191.56,68741000,188.165,181.15395,2,0,2.93
186.09,189.14,185.83,188.63,78005800,188.434,181.027,1,0,5.95001
181.27,182.92999,180.3,182.67999,47317400,188.797,180.90835,0,2,-0.95001
182.16,184.25999,180.92999,183.63,65603000,189.5415,180.80675,0,1,-2.29
186.06,186.74001,185.19,185.92,40444700,190.2655,180.69245,1,0,0.33
186.53999,187.05,183.62,185.59,49128400,190.8675,180.5511,0,1,-0.6
184.35001,186.39999,183.92,186.19,46792900,191.3235,180.41455,1,0,1.05
183.92,185.14999,182.73,185.14,42841800,191.673,180.28485,0,1,-0.42
182.09,185.60001,181.5,185.56,59144500,192.2015,180.1538,1,0,4.38001
181.99001,182.75999,180.17,181.17999,62303300,192.637,180.01515,0,5,-0.73001
182.14999,183.09,180.88,181.91,71983600,193.194,179.90565,0,4,-2.34
184.22,185.88,183.42999,184.25,58414500,193.7695,179.7831,0,3,-1.39
187.14999,188.44,183.89,185.64,82488700,194.0285,179.63685,0,2,-6.89
193.89999,194.39999,191.73,192.53,42628800,194.3085,179.4879,0,1,-1.05
194.14,194.66,193.17,193.58,34049900,194.1795,179.2902,2,0,0.43001
192.49001,193.5,191.09,193.14999,48087700,193.969,179.08525,1,0,0.09999
193.61,193.89,192.83,193.05,28919300,193.8315,178.87185,0,4,-0.55001
195.17999,195.41,192.97,193.60001,37122800,193.6685,178.6491,0,3,-1.07998
196.10001,197.08,193.5,194.67999,46482500,193.487,178.43405,0,2,-0.15001
